*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CyLights
*Date=11:54:15
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;56.6737;-5.32706;0;Bottom;Via74
2;;;61.8581;-15.5624;0;Bottom;Via26
3;;;120.213;-51.0541;0;Bottom;Via54
4;;;115.162;-15.5624;0;Bottom;Via23
5;;;69.4349;-43.4773;0;Bottom;Via41
6;;;4.80796;-34.1187;0;Bottom;TXT57
7;;;97.3498;-25.6648;0;Bottom;Via77
8;;;120.213;-33.3749;0;Bottom;Via61
9;;;41.52;-49.8578;0;Bottom;Via93
10;;;163.648;-53.6454;0;Bottom;TXT67
11;;;97.3498;-18.088;0;Bottom;Via76
12;;;140.288;-72.7681;0;Bottom;TXT52
13;;;4.751;-36.9536;0;Bottom;TXT56
14;;;69.4349;-7.85267;0;Bottom;Via70
15;;;2.16717;-46.8668;90;Bottom;TXT72
16;;THT;4.14599;-80.9669;180;Bottom;J1
17;;;135.455;-94.3099;0;Bottom;Via98
18;5V;78xxl;54.1927;-87.517;0;Bottom;IC2
19;;;107.585;-35.9005;0;Bottom;Via44
20;;;54.1481;-33.3749;0;Bottom;Via9
21;0.1mF;100 mil [THT, multilayer];83.394;-21.8838;180;Bottom;C1
22;;;97.3498;-28.1905;0;Bottom;Via64
23;;;82.1238;-15.534;0;Bottom;Hole6
24;;;104.959;-76.4375;0;Bottom;Via94
25;;;120.213;-78.969;0;Bottom;Via38
26;;;66.9093;-76.4434;0;Bottom;Via3
27;;;77.0117;-15.5624;0;Bottom;Via25
28;;;163.648;-63.7479;0;Bottom;TXT63
29;;DIP (Dual Inline) [THT];113.874;-26.9638;0;Bottom;U5
30;;;132.902;-96.8631;0;Bottom;Via99
31;;;125.265;-10.5112;0;Bottom;Via82
32;;;127.778;-80.3781;0;Bottom;Via107
33;;;112.637;-10.5112;0;Bottom;Via21
34;;;163.131;-51.1047;0;Bottom;TXT68
35;;;90.0935;-78.0478;0;Bottom;TXT6
36;;;122.739;-20.6136;0;Bottom;Via51
37;;;107.462;-80.3781;0;Bottom;Via105
38;;;94.8242;-48.5285;0;Bottom;Via36
39;;;66.9093;-68.8666;0;Bottom;Via5
40;;;163.648;-58.8296;0;Bottom;TXT65
41;;;39.1683;-2.46636;0;Bottom;TXT24
42;;;114.027;-57.6392;-90;Bottom;TXT25
43;0.22mF;100 mil [THT, electrolytic];36.404;-70.1438;-90;Bottom;C3
44;;;127.79;-13.0368;0;Bottom;Via19
45;;;84.7215;-38.4261;0;Bottom;Via43
46;;;130.449;-20.6136;0;Bottom;Via96
47;;;31.3408;-53.6003;0;Bottom;Via104
